user_id,institution,account_type,credit_type,total_credit_payments,payment_frequency,amount_to_pay_next_payment,account_opening_date,account_closing_date,maximum_credit_amount,current_balance,credit_limit,past_due_balance,number_of_payments_due,worst_delinquency,worst_delinquency_date,worst_delinquency_past_due_balance
0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Línea de Crédito,78,Semanal,0,11/10/14,12/5/15,9826,0,0,0,0,0,,0
0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,80,Semanal,0,12/5/15,10/14/16,16000,0,0,0,3,1,5/28/16,200
0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Línea de Crédito,102,Semanal,100,9/2/16,,10205,3505,0,0,3,1,3/3/17,100
0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,120,Semanal,191,10/14/16,,22920,11269,0,0,3,1,3/3/17,191
0,KONFIO,Pagos Fijos,Préstamo Personal ,12,Quincenal,0,12/27/16,6/27/17,150000,0,0,0,0,0,,0
0,KONFIO,Pagos Fijos,Préstamo Personal ,26,Quincenal,10825,6/28/17,,225000,159142,0,0,0,0,,0
0,TELEFONIA CELULAR,Revolvente,Línea de Crédito,1000,Mensual,0,10/6/16,9/15/17,0,0,999,0,7,4,5/31/17,4342
0,MERCANCIA PARA HOGAR Y OFICINA,Sin Límite Preestablecido,Crédito Personal al Consumo,0,Semanal,0,11/10/14,,0,0,0,0,0,0,,0
0,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,72,Mensual,5874,8/22/17,,513069,475245,513069,0,0,0,,0
0,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,24,Mensual,10557,1/31/17,,247705,124316,247705,0,0,0,,0
0,BANCO,Revolvente,Tarjeta de Crédito,0,Mensual,1642,4/24/17,,46307,40050,43500,0,0,0,,0
0,FINANCIERA,Pagos Fijos,Compra de Automóvil,24,Mensual,3069,11/8/17,,57959,57959,0,0,0,0,,0
0,BANCO,Revolvente,Tarjeta de Crédito,0,Mensual,304,10/24/16,,10000,6784,10000,0,0,0,,0
0,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,1,Mensual,0,9/2/16,,3068,0,0,0,0,0,,0
0,TIENDA COMERCIAL,Revolvente,Línea de Crédito,0,Mensual,1369,9/25/16,,6997,4206,10000,0,0,0,,0
0,MICROFINANCIERA,Pagos Fijos,Préstamo Personal ,12,Mensual,0,6/3/15,10/27/15,25000,0,0,0,0,0,,0
1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,53,Semanal,0,7/11/04,,10400,0,0,0,0,0,0000-00-00,0
1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,78,Semanal,0,9/15/09,,20670,0,0,0,0,10,3/1/11,2953
1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,78,Semanal,0,5/25/12,,34710,0,0,0,43,13,5/3/13,5785
1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,78,Semanal,0,5/4/13,,21982,0,0,0,90,73,11/8/14,20414
1,ADMINISTRADORAS DE CARTERA,Revolvente,Tarjeta de Crédito,0,Mensual,0,1/1/15,,12036,0,12036,0,10,13,2/28/15,12036
1,MERCANCIA PARA HOGAR Y OFICINA,Sin Límite Preestablecido,Crédito Personal al Consumo,0,Semanal,0,9/22/09,,0,0,0,0,0,11,3/1/11,1196
1,SERVICIOS,Sin Límite Preestablecido,Otros (Múltiples Créditos),1,Mensual,0,8/16/06,,731,0,0,0,0,0,0000-00-00,0
1,HIPOTECAGOBIERNO,Hipoteca,Bienes Raíces,360,Mensual,4927,5/18/04,,247552,638283,247552,146083,0,0,0000-00-00,0
2,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,80,Semanal,400,5/12/17,,16000,13400,0,200,10,2,6/30/17,408
2,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,80,Semanal,60,5/12/17,,2400,2010,0,30,10,2,6/30/17,61
2,MERCANCIA PARA HOGAR Y OFICINA,Crédito Prendario,Préstamo Personal ,0,Semanal,0,7/1/17,7/29/17,3418,0,0,0,0,0,,0
2,MERCANCIA PARA HOGAR Y OFICINA,Crédito Prendario,Préstamo Personal ,0,Semanal,0,7/5/17,7/29/17,1476,0,0,0,0,0,,0
2,MERCANCIA PARA HOGAR Y OFICINA,Crédito Prendario,Préstamo Personal ,0,Semanal,855,7/29/17,,3418,3418,0,0,0,0,,0
2,MERCANCIA PARA HOGAR Y OFICINA,Crédito Prendario,Préstamo Personal ,0,Semanal,369,7/29/17,,1476,1476,0,0,0,0,,0
2,BANCO,Pagos Fijos,Préstamo Personal ,1,Mensual,0,1/18/16,4/1/16,1475,0,1475,0,0,0,,0
2,BANCO,Pagos Fijos,Préstamo Personal ,1,Mensual,0,8/6/14,8/26/14,876,0,876,0,0,0,,0
3,BANCO,Pagos Fijos,Préstamo de Nomina,72,Quincenal,366,7/1/12,,25135,15290,25000,0,0,0,,0
3,BANCO,Revolvente,Tarjeta de Crédito,0,Mensual,14350,4/12/11,,20650,14350,14350,14350,0,0,,0
4,BANCO,Revolvente,Tarjeta de Crédito,0,Mensual,0,5/28/12,6/22/16,16469,0,0,6852,0,0,,0
4,BANCO,Revolvente,Tarjeta de Crédito,0,Mensual,0,5/28/12,1/31/16,8725,0,12500,0,0,0,,0
4,BANCO,Revolvente,Tarjeta de Crédito,0,Mensual,0,5/1/12,6/10/15,37543,0,30000,11634,0,0,,0
4,BANCO,Revolvente,Tarjeta de Crédito,0,Mensual,0,9/1/12,10/27/14,0,0,48000,0,0,0,,0
4,BANCO,Revolvente,Tarjeta de Crédito,0,Mensual,0,5/28/12,9/30/14,8084,0,12500,0,0,0,,0
4,BANCO,Revolvente,Tarjeta de Crédito,0,Mensual,0,5/1/12,6/30/13,19275,0,1,0,0,0,,0
5,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Crédito al Consumo,26,Semanal,0,5/31/04,10/10/04,4598,0,0,0,0,0,,0
5,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Arrendamiento,52,Semanal,0,7/25/11,5/26/12,6143,0,0,0,0,0,,0
5,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Línea de Crédito,52,Semanal,0,9/25/11,5/26/12,3648,0,0,0,5,1,10/16/11,70
5,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Línea de Crédito,52,Semanal,895,9/20/12,,4317,895,0,895,96,11,2/6/14,1790
