,monthly_income,monthly_outcome,total_credit_payments,payments_per_year,loan_term,loan_amount,_will_pay,worst_previous_delinquency,worst_previous_fraction,_is_account_recent,_is_common_type,ratio_outcome_income,sqrt_income,sqrt_outcome,log_income,log_outcome
38,11436,3316,80.0,52,1.5384615384615383,3264.0,1,0.0,0.0,1,0,3.448733413751508,106.9392350823588,57.584720195551874,9.344521553442203,8.106514516255185
39,11436,3316,80.0,52,1.5384615384615383,488.0,1,0.0,0.0,1,0,3.448733413751508,106.9392350823588,57.584720195551874,9.344521553442203,8.106514516255185
44,11436,3316,1.0,12,0.08333333333333333,1475.0,1,0.0,0.0,1,0,3.448733413751508,106.9392350823588,57.584720195551874,9.344521553442203,8.106514516255185
45,11436,3316,1.0,12,0.08333333333333333,876.0,1,0.0,0.0,1,0,3.448733413751508,106.9392350823588,57.584720195551874,9.344521553442203,8.106514516255185
103,2401260,6496313,65.0,52,1.25,8775.0,1,0.0,0.0,0,0,0.36963428332347903,1549.599948373773,2548.786574038713,14.69150415755389,15.6867453431604
104,2401260,6496313,12.0,12,1.0,6572.8,0,0.0,0.0,1,1,0.36963428332347903,1549.599948373773,2548.786574038713,14.69150415755389,15.6867453431604
105,2401260,6496313,12.0,12,1.0,1260.0,0,0.0,0.0,1,1,0.36963428332347903,1549.599948373773,2548.786574038713,14.69150415755389,15.6867453431604
106,2401260,6496313,18.0,12,1.5,16283.142857142857,0,12473.0,1.1666666666666667,1,1,0.36963428332347903,1549.599948373773,2548.786574038713,14.69150415755389,15.6867453431604
107,2401260,6496313,12.0,12,1.0,10691.142857142857,0,0.0,0.0,1,0,0.36963428332347903,1549.599948373773,2548.786574038713,14.69150415755389,15.6867453431604
108,2401260,6496313,18.0,12,1.5,8888.727272727272,0,12473.0,1.1666666666666667,1,1,0.36963428332347903,1549.599948373773,2548.786574038713,14.69150415755389,15.6867453431604
139,57502,135432,12.0,12,1.0,5000.0,1,0.0,0.0,1,1,0.42458207809085,239.79574641765439,368.0108694046957,10.959575008789237,11.816224948317085
234,327789,560649,1.0,12,0.08333333333333333,252.84615384615384,0,20272.0,13.0,1,0,0.5846599209130846,572.5286019056166,748.764983155596,12.700125387681837,13.236850320243452
235,327789,560649,1.0,12,0.08333333333333333,1559.3846153846155,0,0.0,0.0,1,0,0.5846599209130846,572.5286019056166,748.764983155596,12.700125387681837,13.236850320243452
281,31440,47243,1.0,12,0.08333333333333333,84.61538461538461,0,0.0,0.0,1,0,0.665495417310501,177.313282074412,217.35454906672646,10.355836246543143,10.76305977379872
282,31440,47243,1.0,12,0.08333333333333333,183.33333333333331,0,0.0,0.0,1,0,0.665495417310501,177.313282074412,217.35454906672646,10.355836246543143,10.76305977379872
287,31440,47243,12.0,12,1.0,12943.0,1,1100.0,13.0,1,1,0.665495417310501,177.313282074412,217.35454906672646,10.355836246543143,10.76305977379872
288,31440,47243,48.0,12,4.0,175920.0,1,0.0,0.0,1,1,0.665495417310501,177.313282074412,217.35454906672646,10.355836246543143,10.76305977379872
289,31440,47243,12.0,12,1.0,12943.0,1,1100.0,13.0,1,1,0.665495417310501,177.313282074412,217.35454906672646,10.355836246543143,10.76305977379872
292,31440,47243,12.0,12,1.0,12943.0,1,1100.0,6.000000000000001,1,1,0.665495417310501,177.313282074412,217.35454906672646,10.355836246543143,10.76305977379872
347,2772,70652,60.0,12,5.0,292680.0,1,0.0,0.0,1,0,0.039234558115835365,52.64978632435273,265.8044393910681,7.927324360309794,11.165521696275334
348,5629,38947,48.0,12,4.0,634704.0,1,0.0,0.0,1,0,0.1445297455516471,75.02666192761077,197.34994299467127,8.635687085464026,10.569957026509712
416,174710,266500,24.0,24,1.0,70584.0,1,6714.0,13.0,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
417,174710,266500,6.0,24,0.25,10000.0,1,254.0,0.056603773584905655,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
418,174710,266500,6.0,24,0.25,12000.0,1,254.0,0.056603773584905655,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
419,174710,266500,13.0,24,0.5416666666666666,15000.0,1,254.0,0.056603773584905655,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
420,174710,266500,1.0,12,0.08333333333333333,516.4615384615385,0,254.0,0.056603773584905655,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
421,174710,266500,13.0,24,0.5416666666666666,20000.0,1,6714.0,13.0,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
422,174710,266500,18.0,24,0.75,30000.0,1,6714.0,13.0,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
423,174710,266500,39.0,52,0.75,9000.0,1,0.0,0.0,0,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
424,174710,266500,53.0,52,1.0192307692307692,4487.333333333334,1,0.0,0.0,0,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
437,174710,266500,24.0,12,2.0,121440.0,1,6714.0,13.0,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
438,174710,266500,24.0,12,2.0,96528.0,1,254.0,0.056603773584905655,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
440,174710,266500,24.0,12,2.0,96528.0,1,254.0,0.056603773584905655,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
441,174710,266500,24.0,24,1.0,73608.0,1,6714.0,13.0,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
442,174710,266500,6.0,24,0.25,10000.0,1,254.0,0.056603773584905655,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
443,174710,266500,6.0,24,0.25,12000.0,1,254.0,0.056603773584905655,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
444,174710,266500,13.0,24,0.5416666666666666,15000.0,1,254.0,0.056603773584905655,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
445,174710,266500,1.0,12,0.08333333333333333,516.4615384615385,0,254.0,0.056603773584905655,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
446,174710,266500,13.0,24,0.5416666666666666,20000.0,1,6714.0,13.0,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
447,174710,266500,18.0,24,0.75,30000.0,1,6714.0,13.0,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
448,174710,266500,39.0,52,0.75,9000.0,1,0.0,0.0,0,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
449,174710,266500,53.0,52,1.0192307692307692,4487.333333333334,1,0.0,0.0,0,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
463,174710,266500,24.0,12,2.0,121440.0,1,6714.0,13.0,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
464,174710,266500,24.0,12,2.0,96528.0,1,254.0,0.056603773584905655,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
466,174710,266500,24.0,12,2.0,96248.0,1,254.0,0.056603773584905655,1,0,0.6555722326454034,417.98325325304603,516.2363799656123,12.07088273546849,12.493129522588037
467,39878,81792,128.0,52,2.4615384615384617,42858.66666666666,1,0.0,0.0,1,0,0.48755379499217527,199.69476708216467,285.99300690751164,10.593580072366844,11.311934718297152
469,39878,81792,36.0,12,3.0,207036.0,1,0.0,0.0,1,0,0.48755379499217527,199.69476708216467,285.99300690751164,10.593580072366844,11.311934718297152
487,1553,5590,1.0,12,0.08333333333333333,220.0,0,0.0,0.0,1,0,0.2778175313059034,39.408120990476064,74.76630257007497,7.347943823148687,8.628734566149145
488,1553,5590,1.0,12,0.08333333333333333,220.0,0,0.0,0.0,1,0,0.2778175313059034,39.408120990476064,74.76630257007497,7.347943823148687,8.628734566149145
500,1553,5590,12.0,12,1.0,241247.0,1,1100.0,5.0,1,0,0.2778175313059034,39.408120990476064,74.76630257007497,7.347943823148687,8.628734566149145
509,1553,5590,36.0,12,3.0,300000.0,1,0.0,0.0,0,0,0.2778175313059034,39.408120990476064,74.76630257007497,7.347943823148687,8.628734566149145
