,user_id,monthly_income,monthly_outcome,class,institution,account_type,credit_type,total_credit_payments,payment_frequency,amount_to_pay_next_payment,account_opening_date,maximum_credit_amount,current_balance,credit_limit,worst_delinquency_date,worst_delinquency_estimated,worst_delinquency_past_due_estimated,payments_per_year,loan_term,loan_amount,_has_account_closing_date
38,2,11436,3316,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,80.0,Semanal,400.0,5/12/17,16000.0,13400.0,0.0,6/30/17,10.0,408.0,52,1.5384615384615385,3264.0,0
39,2,11436,3316,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,80.0,Semanal,60.0,5/12/17,2400.0,2010.0,0.0,6/30/17,10.0,61.0,52,1.5384615384615385,488.0,0
44,2,11436,3316,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,1/18/16,1475.0,0.0,1475.0,No,0.0,0.0,12,0.08333333333333333,1475.0,1
45,2,11436,3316,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,8/6/14,876.0,0.0,876.0,No,0.0,0.0,12,0.08333333333333333,876.0,1
103,9,2401260,6496313,0,VENTA POR CATALOGO,Pagos Fijos,Crédito al Consumo,65.0,Semanal,0.0,9/27/03,8775.0,0.0,0.0,No,0.0,0.0,52,1.25,8775.0,1
104,9,2401260,6496313,0,TIENDA COMERCIAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,8216.0,10/12/13,8216.0,8216.0,15906.0,Missing,15.0,8216.0,12,1.0,6572.8,0
105,9,2401260,6496313,0,TIENDA COMERCIAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,1575.0,6/19/13,1575.0,1575.0,15906.0,Missing,15.0,1575.0,12,1.0,1260.0,0
106,9,2401260,6496313,0,TIENDA COMERCIAL,Pagos Fijos,Línea de Crédito,18.0,Mensual,18997.0,4/24/15,18997.0,18997.0,15906.0,Missing,21.0,18997.0,12,1.5,16283.142857142857,0
107,9,2401260,6496313,0,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Mensual,0.0,9/30/13,8800.0,0.0,8800.0,12/31/14,14.0,12473.0,12,1.0,10691.142857142857,1
108,9,2401260,6496313,0,TIENDA COMERCIAL,Pagos Fijos,Línea de Crédito,18.0,Mensual,10864.0,1/31/15,10864.0,10864.0,15906.0,Missing,22.0,10864.0,12,1.5,8888.727272727272,0
139,11,57502,135432,1,BANCO,Pagos Fijos,Línea de Crédito,12.0,Mensual,0.0,3/24/14,5000.0,0.0,5000.0,No,0.0,0.0,12,1.0,5000.0,1
234,20,327789,560649,0,GOBIERNO,Pagos Fijos,Crédito Fiscal,1.0,Mensual,3287.0,11/1/16,3287.0,3287.0,0.0,11/30/17,13.0,3287.0,12,0.08333333333333333,252.84615384615384,0
235,20,327789,560649,0,ADMINISTRADORAS DE CARTERA,Pagos Fijos,Tarjeta de Crédito,1.0,Mensual,20272.0,12/12/13,20272.0,20272.0,20272.0,10/31/14,13.0,20272.0,12,0.08333333333333333,1559.3846153846155,0
281,22,31440,47243,1,GOBIERNO,Pagos Fijos,Crédito Fiscal,1.0,Mensual,0.0,5/23/13,0.0,0.0,0.0,6/30/14,13.0,1100.0,12,0.08333333333333333,84.61538461538461,1
282,22,31440,47243,1,GOBIERNO,Pagos Fijos,Crédito Fiscal,1.0,Mensual,0.0,6/21/13,0.0,0.0,0.0,1/31/14,6.0,1100.0,12,0.08333333333333333,183.33333333333334,1
