,Feature,gbc importance,xgb importance,ran importance,ext importance,ada importance,Average
0,loan_amount,0.44820539185074787,0.17823677,0.254905114041848,0.16168583997555555,0.2,0.24860662270356038
1,ratio_outcome_income,0.0807499110074939,0.07670881,0.07345072463538373,0.08103119421312772,0.4,0.14238812767946066
2,total_credit_payments,0.06542704726989929,0.083232425,0.07227298895351453,0.07978301145717356,0.06,0.07214309456676857
3,loan_term,0.0886179776008798,0.08913401,0.0799467351493676,0.07971382012404765,0.0,0.06748250811332643
4,monthly_outcome,0.06118105039962959,0.10762803,0.06769536798788545,0.06564744776965671,0.02,0.06443037974445773
5,log_outcome,0.0846378181040341,0.0,0.06349785229765854,0.09395275607497253,0.04,0.05641768529533303
6,monthly_income,0.03812140149819932,0.09757732,0.06714296377438525,0.056643464730412,0.0,0.05189702971043055
7,sqrt_outcome,0.046014583038569846,0.0,0.07629207833934211,0.07084913163366421,0.04,0.04663115860231524
8,sqrt_income,0.021361405795425528,0.0,0.07951559861065632,0.07381031978086271,0.04,0.04293746483738891
9,worst_previous_fraction,0.012930311192883452,0.07483591,0.03245216189142885,0.03261985710628982,0.06,0.04256764831675354
10,worst_previous_delinquency,0.008101637483957307,0.05738003,0.026915924797695806,0.032065378097810855,0.08,0.040892594434754716
11,log_income,0.029748582921139435,0.0,0.05213525622872049,0.07382423659907286,0.04,0.03914161514978656
12,payments_per_year,0.005220038028943784,0.09812516,0.022568096040346496,0.03361877265833203,0.02,0.03590641329361406
13,_is_common_type,0.008427256018738512,0.09440904,0.019390726878589094,0.03406288580183807,0.0,0.03125798196117331
14,_is_account_recent,0.0012555877894581792,0.04273252,0.011818410373177697,0.03069188397718369,0.0,0.01729968006122464
